study,user_id,user_group,analogy_type,analogy_domain,task_id,task_position,task_block,correct_answer,ai_advice,ai_wrong_by_design,initial_choice,final_choice,ai_correct,initial_correct,final_correct,initial_agrees_ai,final_follows_ai,initial_disagreement,switched,switch_to_ai,diagnostic_trial,appropriate_reliance_all,appropriate_reliance_diagnostic,over_reliance,under_reliance,warranted_ai_reliance,warranted_self_reliance
main_exp,participant-278,analogy,train,,LP002534,1,,accept,accept,False,accept,accept,True,True,True,True,True,False,False,False,False,True,,,,,
main_exp,participant-278,analogy,train,,LP002181,2,,reject,accept,True,accept,accept,False,False,False,True,True,False,False,False,False,False,,,,,
main_exp,participant-278,analogy,train,,LP001806,3,,accept,accept,False,reject,accept,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False
main_exp,participant-278,analogy,train,,LP002142,4,,reject,accept,True,reject,accept,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False
main_exp,participant-278,analogy,train,,LP002068,5,,accept,accept,False,accept,accept,True,True,True,True,True,False,False,False,False,True,,,,,
main_exp,participant-278,analogy,train,,LP001882,6,,accept,accept,False,accept,accept,True,True,True,True,True,False,False,False,False,True,,,,,
main_exp,participant-278,analogy,train,,LP001451,7,,reject,reject,False,accept,accept,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
main_exp,participant-278,analogy,train,,LP001030,8,,accept,accept,False,accept,accept,True,True,True,True,True,False,False,False,False,True,,,,,
main_exp,participant-278,analogy,train,,LP002840,9,,reject,accept,True,accept,accept,False,False,False,True,True,False,False,False,False,False,,,,,
main_exp,participant-278,analogy,train,,LP001849,10,,reject,reject,False,accept,accept,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
main_exp,participant-160,analogy,train,,LP001030,1,,accept,accept,False,reject,accept,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False
main_exp,participant-160,analogy,train,,LP002840,2,,reject,accept,True,accept,accept,False,False,False,True,True,False,False,False,False,False,,,,,
main_exp,participant-160,analogy,train,,LP002181,3,,reject,accept,True,accept,accept,False,False,False,True,True,False,False,False,False,False,,,,,
main_exp,participant-160,analogy,train,,LP001882,4,,accept,accept,False,reject,reject,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
main_exp,participant-160,analogy,train,,LP002068,5,,accept,accept,False,accept,accept,True,True,True,True,True,False,False,False,False,True,,,,,
