session_id,participant_id,c1_class,c1_posterior
P10_C1,10,1,0.9998
P11_C1,11,2,1
P12_C1,12,1,1
P13_C1,13,4,0.9867
P14_C1,14,4,1
P15_C1,15,1,0.9994
P16_C1,16,3,0.9997
P17_C1,17,3,0.6823
P18_C1,18,1,1
P19_C1,19,1,1
P01_C1,1,1,1
P20_C1,20,1,1
P21_C1,21,3,1
P22_C1,22,2,1
P23_C1,23,1,1
P24_C1,24,1,0.9999
P25_C1,25,2,1
P26_C1,26,3,1
P27_C1,27,3,1
P28_C1,28,2,1
P29_C1,29,3,0.9999
P02_C1,2,5,0.9999
P30_C1,30,5,0.999
P31_C1,31,1,0.9989
P32_C1,32,5,1
P33_C1,33,1,1
P34_C1,34,5,1
P35_C1,35,1,1
P36_C1,36,3,1
P37_C1,37,2,1
P38_C1,38,3,1
P39_C1,39,4,1
P03_C1,3,3,1
P40_C1,40,2,1
P41_C1,41,2,1
P42_C1,42,3,1
P43_C1,43,4,1
P44_C1,44,3,1
P45_C1,45,5,1
P46_C1,46,1,0.9999
P47_C1,47,1,1
P48_C1,48,1,1
P49_C1,49,1,1
P04_C1,4,5,1
P50_C1,50,3,1
P05_C1,5,5,1
P06_C1,6,3,1
P07_C1,7,6,1
P08_C1,8,1,1
P09_C1,9,5,1
