session_id,participant_id,condition,s1_class,s1_posterior
P10_C1,10,1,5,1
P10_C2,10,2,2,0.9986
P11_C1,11,1,6,0.971
P11_C2,11,2,3,0.9995
P12_C1,12,1,5,1
P12_C2,12,2,3,0.9999
P13_C1,13,1,5,0.7425
P13_C2,13,2,3,0.999
P14_C1,14,1,1,1
P14_C2,14,2,3,1
P15_C1,15,1,5,0.9991
P15_C2,15,2,2,0.9982
P16_C1,16,1,5,1
P16_C2,16,2,2,1
P17_C1,17,1,5,1
P17_C2,17,2,2,0.9999
P18_C1,18,1,5,0.9999
P18_C2,18,2,3,0.9993
P19_C1,19,1,6,0.9888
P19_C2,19,2,3,0.9956
P01_C1,1,1,5,1
P01_C2,1,2,2,0.9996
P20_C1,20,1,5,0.9998
P20_C2,20,2,3,0.9872
P21_C1,21,1,6,0.9906
P21_C2,21,2,3,0.9967
P22_C1,22,1,5,1
P22_C2,22,2,2,0.9934
P23_C1,23,1,5,0.9984
P23_C2,23,2,4,1
P24_C1,24,1,5,0.9616
P24_C2,24,2,4,1
P25_C1,25,1,5,1
P25_C2,25,2,2,1
P26_C1,26,1,5,1
P26_C2,26,2,3,0.9998
P27_C1,27,1,6,0.9995
P27_C2,27,2,2,1
P28_C1,28,1,5,0.9996
P28_C2,28,2,2,1
P29_C1,29,1,6,0.9999
P29_C2,29,2,2,0.9945
P02_C1,2,1,6,0.9994
P02_C2,2,2,2,1
P30_C1,30,1,6,1
P30_C2,30,2,3,0.9999
P31_C1,31,1,5,1
P31_C2,31,2,2,1
P32_C1,32,1,6,1
P32_C2,32,2,4,1
P33_C1,33,1,5,0.9999
P33_C2,33,2,2,0.8451
P34_C1,34,1,6,1
P34_C2,34,2,4,0.7797
P35_C1,35,1,5,1
P35_C2,35,2,3,1
P36_C1,36,1,5,0.9651
P36_C2,36,2,4,1
P37_C1,37,1,5,1
P37_C2,37,2,3,0.994
P38_C1,38,1,5,0.9852
P38_C2,38,2,3,1
P39_C1,39,1,1,1
P39_C2,39,2,3,0.9996
P03_C1,3,1,6,0.9501
P03_C2,3,2,3,0.9998
P40_C1,40,1,5,1
P40_C2,40,2,2,0.9997
P41_C1,41,1,6,0.988
P41_C2,41,2,2,0.9163
P42_C1,42,1,6,0.9182
P42_C2,42,2,3,0.9999
P43_C1,43,1,1,1
P43_C2,43,2,2,0.9966
P44_C1,44,1,5,0.7046
P44_C2,44,2,4,1
P45_C1,45,1,6,0.9998
P45_C2,45,2,2,0.9889
P46_C1,46,1,5,1
P46_C2,46,2,3,1
P47_C1,47,1,5,1
P47_C2,47,2,2,0.9944
P48_C1,48,1,5,0.9992
P48_C2,48,2,2,0.9993
P49_C1,49,1,5,0.9997
P49_C2,49,2,3,1
P04_C1,4,1,6,1
P04_C2,4,2,4,0.9416
P50_C1,50,1,5,1
P50_C2,50,2,2,1
P05_C1,5,1,6,1
P05_C2,5,2,3,0.9961
P06_C1,6,1,5,1
P06_C2,6,2,3,1
P07_C1,7,1,1,1
P07_C2,7,2,2,1
P08_C1,8,1,5,0.8169
P08_C2,8,2,2,0.9944
P09_C1,9,1,6,1
P09_C2,9,2,3,1
