episode_num,timestamp,source,bundle_id,n_questions,n_correct,accuracy,read_explanation,explanation_duration_s,watched_lecture,lecture_duration_s,is_adaptive_offer,skill_tags
1,1554889227015,sprint,b764,1,1,1.00,True,41.079,False,0,False,25;24;181;23;183
2,1554889289070,sprint,b774,1,0,0.00,True,24.134,False,0,False,181;39;185;38
3,1554889339254,sprint,b588,1,1,1.00,True,22.743,False,0,False,25;24;182;183
4,1554889388592,sprint,b8316,1,1,1.00,True,22.7,False,0,False,44;49;182;30;183
5,1554889432520,sprint,b666,1,1,1.00,True,46.874,False,0,False,181;24;182;40
6,1554889506030,sprint,b1240,1,0,0.00,True,22.033,False,0,False,185;181;27;28;45
7,1554889551250,sprint,b1000,1,0,0.00,True,45.29,False,0,False,33;24;182;183
8,1554889615144,sprint,b295,1,1,1.00,True,7.905,False,0,False,181;34;182;42
9,1554889642941,sprint,b822,1,1,1.00,True,23.918,False,0,False,181;29;28;183
10,1554889693316,sprint,b997,1,1,1.00,True,20.864,False,0,False,44;181;49;179;183
11,1554889841127,sprint,b2729,1,1,1.00,True,9.823,False,0,False,84
12,1554889864755,sprint,b2451,1,0,0.00,True,28.864,False,0,False,114
13,1554889910024,sprint,b3415,1,1,1.00,True,6.016,False,0,False,132
14,1554889935796,sprint,b6378,1,0,0.00,True,43.49,False,0,False,83
15,1554889997417,sprint,b6926,1,1,1.00,True,6.805,False,0,False,119
16,1554890023896,sprint,b2325,2,1,0.50,True,7.572,False,0,False,82
17,1554890054953,sprint,b5055,2,1,0.50,True,14.356,False,0,False,115
18,1554890087702,sprint,b7284,1,1,1.00,True,14.552,False,0,False,85
19,1554890118617,sprint,b3592,1,1,1.00,True,7.343,False,0,False,110
20,1554890152551,sprint,b4603,1,1,1.00,True,11.422,False,0,False,126
21,1554915516728,sprint,b86,1,1,1.00,True,10.026,False,0,False,2;185;13
22,1554915555887,sprint,b5567,1,1,1.00,True,7.409,False,0,False,2;19;184
23,1554915592304,sprint,b190,1,1,1.00,True,38.099,False,0,False,7;6;181
24,1554915674668,sprint,b8301,1,1,1.00,True,48.741,False,0,False,2;185;1
25,1554915811686,sprint,b3,0,0,,False,0,False,0,False,
26,1554915829850,sprint,b158,1,1,1.00,True,5.045,False,0,False,2;181;8
27,1554915861738,sprint,b73,1,1,1.00,True,14.614,False,0,False,2;5;179;183
28,1554915901977,sprint,b8207,1,1,1.00,True,5.363,False,0,False,2;181;8
29,1554915937829,sprint,b160,1,0,0.00,True,33.221,False,0,False,2;185;8
30,1554916002522,sprint,b5633,1,0,0.00,True,39.028,False,0,False,185;20;21
31,1554916074591,sprint,b7,1,1,1.00,True,9.199,False,0,False,7;11;179;183
32,1554916116083,sprint,b8287,1,1,1.00,True,5.704,False,0,False,7;18;184
33,1554916149636,sprint,b5648,1,1,1.00,True,8.911,False,0,False,2;181;179;1
34,1554916187434,sprint,b189,1,1,1.00,True,4.519,False,0,False,2;185;8
35,1554916215984,sprint,b5589,1,1,1.00,True,7.586,False,0,False,7;6;182
36,1554916252106,sprint,b8067,1,1,1.00,True,4.727,False,0,False,7;6;183
37,1554916284067,sprint,b121,1,0,0.00,True,11.872,False,0,False,185;20;21
38,1554916367068,adaptive_offer,b5633,1,1,1.00,True,6.029,False,0,True,185;20;21
39,1554916392535,adaptive_offer,b121,1,1,1.00,True,7.281,False,0,True,185;20;21
40,1554916434136,sprint,b124,1,1,1.00,True,5.282,False,0,False,185;20;21
41,1554916467804,sprint,b5557,1,1,1.00,True,5.706,False,0,False,2;9;183
42,1554916500040,sprint,b8189,2,1,0.50,True,12.437,False,0,False,2;184;180
43,1554916538738,sprint,b5579,1,1,1.00,True,5.084,False,0,False,7;18;183
44,1554916571801,sprint,b140,1,1,1.00,True,5.053,False,0,False,2;181;179;16
45,1554916602113,sprint,b166,1,1,1.00,True,4.227,False,0,False,7;18;185
46,1554916632015,sprint,b8037,1,1,1.00,True,5.362,False,0,False,2;184;180
47,1554916662634,sprint,b57,1,1,1.00,True,4.824,False,0,False,183;179;20;21
48,1554916693499,sprint,b19,1,0,0.00,True,5.385,False,0,False,183;20;21
49,1554916725617,sprint,b135,1,1,1.00,True,25.732,False,0,False,2;4;183
50,1554916783919,sprint,b8232,1,1,1.00,True,4.821,False,0,False,10;7;184
51,1554916813638,sprint,b99,1,1,1.00,True,10.208,False,0,False,7;18;182;179
52,1554916849507,sprint,b5613,1,0,0.00,True,40.323,False,0,False,2;4;183
53,1554916917355,sprint,b60,0,0,,False,0,False,0,False,
54,1554916975533,sprint,b336,1,1,1.00,True,23.342,False,0,False,29;28;184;179;183
55,1554917021025,sprint,b905,1,1,1.00,True,8.907,False,0,False,24;182;41;183
56,1554917050523,sprint,b676,1,1,1.00,True,19.625,False,0,False,31;32;182;183
57,1554917094211,sprint,b8302,1,1,1.00,True,6.111,False,0,False,44;49;30;184;183
58,1554917125813,sprint,b254,1,1,1.00,True,46.024,False,0,False,36;185;37;183
59,1554917256852,sprint,b4307,1,1,1.00,True,15.199,False,0,False,109
60,1554917369153,sprint,b3418,1,0,0.00,True,48.657,False,0,False,91
61,1554917430026,sprint,b3869,1,0,0.00,True,18.171,False,0,False,92
62,1554917481519,sprint,b6436,1,1,1.00,True,6.298,False,0,False,83
63,1554917508969,sprint,b3871,1,1,1.00,True,7.312,False,0,False,92
64,1554917529768,sprint,b2653,1,1,1.00,True,15.332,False,0,False,85
65,1554917570814,sprint,b3075,1,1,1.00,True,6.316,False,0,False,129
66,1554917608847,sprint,b7486,1,1,1.00,True,6.477,False,0,False,85
67,1554917629945,sprint,b4259,1,0,0.00,True,23.311,False,0,False,105
68,1554917702642,sprint,b2707,1,1,1.00,True,7.157,False,0,False,72
69,1554937488089,sprint,b825,1,0,0.00,True,23.285,False,0,False,182;46;47;183
70,1554937533932,sprint,b422,1,1,1.00,True,5.129,False,0,False,185;24;181;33;23
71,1554937559260,sprint,b8315,1,1,1.00,True,28.454,False,0,False,44;49;182;30;183
72,1554937617491,sprint,b356,1,1,1.00,True,8.603,False,0,False,181;42;30;34;183
73,1554937647053,sprint,b763,1,1,1.00,True,55.286,False,0,False,35;184;30;34;183
74,1554937733619,sprint,b854,1,1,1.00,True,36.059,False,0,False,185;25;24;181;23
75,1554937794417,sprint,b8312,1,1,1.00,True,11.827,False,0,False,181;49;27;184;44
76,1554937828069,sprint,b1297,1,1,1.00,True,30.924,False,0,False,181;185;24;48
77,1554937881715,sprint,b554,1,0,0.00,True,22.527,False,0,False,35;181;184;30;34
78,1554937945772,sprint,b1218,1,0,0.00,True,6.738,False,0,False,45;185;183;44
79,1554938003813,adaptive_offer,b1218,1,1,1.00,True,26.133,False,0,True,45;185;183;44
80,1554938050369,adaptive_offer,b1240,1,1,1.00,True,24.918,False,0,True,185;181;27;28;45
81,1554938102435,sprint,b8314,1,1,1.00,True,70.916,False,0,False,181;49;30;184;44
82,1554938196436,sprint,b1292,1,1,1.00,True,18.369,False,0,False,33;181;185;24
83,1554938237231,sprint,b1266,1,1,1.00,True,24.021,False,0,False,31;45;184;182
84,1554938281736,sprint,b835,1,0,0.00,True,62.155,False,0,False,181;36;37;183
85,1554938370042,sprint,b243,1,1,1.00,True,23.213,False,0,False,185;29;27;28;183
86,1554938414395,sprint,b810,1,1,1.00,True,34.285,False,0,False,181;45;184;44
87,1554938476759,sprint,b439,1,1,1.00,True,5.515,False,0,False,185;49;183;44
88,1554938503352,sprint,b539,1,1,1.00,True,4.688,False,0,False,185;35;181;34;179
89,1554938528904,sprint,b573,1,1,1.00,True,4.995,False,0,False,182;46;184;47
90,1554938553758,sprint,b696,1,0,0.00,True,67.627,False,0,False,182;27;45;184;44
91,1554938652667,sprint,b767,1,1,1.00,True,60.391,False,0,False,181;24;48;183
92,1554938731889,sprint,b285,1,1,1.00,True,3.865,False,0,False,35;34;182;184
93,1554938757861,sprint,b982,1,0,0.00,True,83.169,False,0,False,33;24;182;183
94,1554938864467,sprint,b312,1,0,0.00,True,24.217,False,0,False,25;24;181;23;183
95,1554938905387,sprint,b280,1,1,1.00,True,35.535,False,0,False,181;39;182;38
96,1554938962494,sprint,b1146,1,1,1.00,True,5.303,False,0,False,181;39;182;38
97,1554938986332,sprint,b788,1,1,1.00,True,25.947,False,0,False,31;181;183;42
98,1554939033118,sprint,b655,1,1,1.00,True,41.746,False,0,False,24;182;26;30;183
99,1554939095051,sprint,b447,1,1,1.00,True,30.405,False,0,False,181;46;47;27;183
100,1554939146542,sprint,b1132,1,1,1.00,True,50.193,False,0,False,181;24;43;184
101,1554939218537,sprint,b448,1,0,0.00,True,21.107,False,0,False,185;35;30;34;179;183
102,1554939302928,sprint,b2467,1,0,0.00,True,75.24,False,0,False,142
103,1554939391818,sprint,b6534,1,1,1.00,True,8.552,False,0,False,85
104,1554939418615,sprint,b3577,1,1,1.00,True,33.194,False,0,False,109
105,1554939472650,sprint,b3556,1,1,1.00,True,7.626,False,0,False,74
106,1554939525832,sprint,b4191,1,0,0.00,True,26.356,False,0,False,87
107,1554939623748,sprint,b6299,1,1,1.00,True,27.199,True,331.654,False,115
108,1554967686409,sprint,b4215,1,1,1.00,True,9.54,False,0,False,137
109,1554967707439,sprint,b4218,1,1,1.00,True,9.535,False,0,False,104
110,1554967736564,sprint,b4150,1,1,1.00,True,46.326,False,0,False,76
111,1554967833691,sprint,b6757,1,1,1.00,True,4.409,False,0,False,119
112,1554967885643,sprint,b4688,1,1,1.00,True,8.937,False,0,False,91
113,1554974876830,sprint,b4187,1,1,1.00,True,23.933,False,0,False,72
114,1554974920684,sprint,b4887,1,0,0.00,True,7.401,False,0,False,130
115,1554974950449,sprint,b6395,1,1,1.00,True,7.312,False,0,False,85
116,1554974976044,sprint,b3593,1,0,0.00,True,17.15,False,0,False,107
117,1554975039724,sprint,b2575,1,0,0.00,True,45.112,False,0,False,81
