"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Document Type","Publication Stage","Open Access","Source","EID"
"Aruleba, K.; Ebenezer, E.; Modisane, C.","Aruleba, Kehinde D. (57484703900); Ebenezer, Esenogho (57193790575); Modisane, Cameron (60090121700)","57484703900; 57193790575; 60090121700","Prompt engineering as cognitive scaffolding for ethical and explanatory quality in AI-mediated financial learning","2026","Discover Education","5","1","125","","","0","10.1007/s44217-026-01134-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030494744&doi=10.1007%2Fs44217-026-01134-4&partnerID=40&md5=289b3a7f01f86e57018a41cf7d48a59e","Background : Large language models (LLMs) are increasingly used in personal finance education, yet the role of instructional prompt design in shaping explanatory quality and ethical responsiveness remains underexplored. This matters because trustworthy financial guidance and instruction depend on clarity, accuracy, and appropriately cautionary framing. Method : We conducted a Design-Based Research (DBR) Phase 1 artefact-validation study using content analysis of 120 GPT-4-turbo (May 2025) generations. Ninety diagnostic prompts varied linguistic framing, cognitive level, and ethical intent; thirty Phase 1b prompts instantiated a derived taxonomy. Two expert reviewers scored outputs (0–3) for financial accuracy, conceptual clarity, and ethical tone (inter-rater reliability:). Results : Prompt form was a pedagogical determinant of content quality. Procedural prompts outperformed interrogatives on clarity (,,) and accuracy (,,). Ethical anchoring raised ethical tone (median 2.78 vs. 2.31; Cliff’s,) with a modest accuracy trade-off (,). Taxonomy-guided prompting increased medians for clarity (to 2.92), accuracy (to 2.81), and ethical tone (to 2.71), and reduced low-quality outliers from to (,), evidencing higher instructional reliability at the content level. Conclusion : The prompt taxonomy, validated here at the content level, operationalises three design principles - Guided Explanation, Contextualised Inquiry, and Comparative Reasoning. These links prompt forms to instructional functions via structural scaffolding and situated relevance. Treating prompt engineering as instructional design can systematically improve AI-mediated educational content in high-stakes finance. DBR Phase 2 will test impacts on learner outcomes (decision quality, self-regulation, calibrated trust) and robustness across models and retrieval-augmented settings. © The Author(s) 2026.","Cognitive scaffolding; Design-based research; Financial education; Generative AI in learning; Prompt engineering","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105030494744"
"Rawat, R.; Borana, K.; Gehlot, S.; Rawat, A.; Rawat, H.; Dangi, C.S.","Rawat, Romil (57204108173); Borana, Kamal (58304323900); Gehlot, Shyam (57410557900); Rawat, Anjali (57574073100); Rawat, Hitesh (58690038300); Dangi, Chandrapal Singh (57221600963)","57204108173; 58304323900; 57410557900; 57574073100; 58690038300; 57221600963","Information retrieval framework using knowledge graph embeddings and uncertainty modelling using probabilistic soft logic","2026","Discover Computing","29","1","74","","","0","10.1007/s10791-025-09859-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029394747&doi=10.1007%2Fs10791-025-09859-w&partnerID=40&md5=b80bf74aaf06e14596419b248a609ae2","The growing complexity and uncertainty inherent in modern information retrieval tasks necessitate systems that can reason probabilistically while leveraging rich semantic structures. This research explores the core question: How can uncertainty-aware retrieval be enhanced through the integration of probabilistic logic and knowledge graph semantics? To address this, we introduce a novel hybrid framework that fuses probabilistic soft logic (PSL) with transformer-enhanced knowledge graph embeddings (TEKGE), further empowered by a dynamic uncertainty quantification layer (DUQL). DUQL enables granular modeling of both epistemic and aleatoric uncertainties across graph entities and relationships. Additionally, a multi-hop probabilistic graph traversal (MPGT) mechanism, informed by Bayesian-regularized contextual embeddings, guides the retrieval process. Empirical evaluations on two benchmark datasets—CN15k and O*NET20k—demonstrate the system’s effectiveness, with notable gains including an 11.6% increase in nDCG@20, a 14.2% improvement in mean reciprocal rank (MRR), and an uncertainty-aware precision (UAP) score of 0.87. The use of conformal prediction ensures statistically valid confidence calibration across retrieval outputs. This work presents a scalable and interpretable approach that combines symbolic reasoning with neural representation learning, achieving both robustness and trustworthiness in uncertain environments, the study reaffirms the importance of quantifiable confidence in semantic retrieval, contributing a resilient solution to the broader challenge of explainable and reliable information systems. © The Author(s) 2025.","Conformal prediction; Knowledge graph embeddings; Probabilistic soft logic; Transformer models; Trustworthy AI; Uncertainty-aware retrieval","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029394747"
"Vélez, G.; Xu, L.Z.; Fitzgerald, J.","Vélez, Gabriel M. (57192983520); Xu, Larry Zhiming (57202538036); Fitzgerald, Jacklynn M. (56591515800)","57192983520; 57202538036; 56591515800","From AI as a Relational Breaker to a Relational Broker: Comment on Bauer et al. (2025)","2026","Educational Psychology Review","38","1","15","","","0","10.1007/s10648-025-10106-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029086943&doi=10.1007%2Fs10648-025-10106-3&partnerID=40&md5=b32435a0232712c2719deffd23117ed6","Relationships are fundamental to who we are as people, to our schools and communities, and to how young people learn and develop. As artificial intelligence (AI) enters K–16 classrooms, it affects not only instruction but also the deep-rooted human connections that have sustained learning across many generations. Recently in this journal, (Bauer et al., Educational Psychology Review 37, 2025) argue that successful AI integration involves moderating factors like students’ literacy, educators’ technological skills, and pedagogical approaches. Building on their focus on cognition, this commentary suggests that we should consider extending these moderating factors to consider how AI compels us to reimagine and refocus on human relationships, those within students themselves and between students and teachers, schools, families, and communities. Rooted in educational psychology literature on relationships, we argue that AI may be a relationship breaker until educators make it a broker. Reliance on AI in education can change how students and teachers see themselves, who they trust, and what kinds of connections endure in an increasingly machine-mediated educational landscape. We review ways in which AI is changing educational relationships at each level, from the intrapersonal (students with themselves), interpersonal in schools (students with teachers), and in the larger learning ecosystem (with families and communities). Considering these levels offers further areas for research and policy beyond the cognitive ones outlined by Bauer et al. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","AI; Authority; Development; Education; Identity; Relationships; Safety","","","Note","Final","","Scopus","2-s2.0-105029086943"
"Khoso, A.K.; Honggang, W.; Darazi, M.A.","Khoso, Abdul Khalique (57970780100); Honggang, Wang (60331759300); Darazi, Mansoor Ali (57970780000)","57970780100; 60331759300; 57970780000","Trust and attitude towards AI as pathways to creativity: a TAM Model study of EFL students’ digital literacy and AI acceptance","2026","Humanities and Social Sciences Communications","13","1","69","","","0","10.1057/s41599-025-06362-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027427963&doi=10.1057%2Fs41599-025-06362-x&partnerID=40&md5=a3ed23c4e56e1d2e743be42088a72f0c","The integration of artificial intelligence (AI) into educational settings, particularly in language learning, necessitates a deeper understanding of the determinants of student trust. This study aims to investigate how digital literacy and trust in AI shape the attitudes, behavioral intentions, and creativity of English as a Foreign Language (EFL) students. This study is grounded in the technology acceptance model (TAM) and employed a two-stage survey methodology. Study 1 utilized a survey methodology with n = 460 EFL students, revealing that digital literacy significantly enhances perceived ease of use and perceived usefulness, which in turn fosters trust in AI. This trust positively influenced attitudes and intentions to use AI, with implications for creative language learning. Study 2 expanded using a larger sample of n = 640 EFL students and by examining trust as a multidimensional construct, identifying Human-like Trust (benevolence and integrity) and Functionality Trust (competence). Findings confirm that while both dimensions of trust significantly impact outcomes, their influences are specialized. Functionality Trust exerts a stronger effect on behavioral intentions for continued use, and Human-like Trust is more critical for building relational engagement. The results underscore that fostering both technical reliability and empathic interactions in AI can maximize educational effectiveness and creativity. This study contributes to the TAM framework by providing a multidimensional view of trust, offering valuable insights for the design and adoption of AI technologies in EFL education, enhancing student creative potential. © The Author(s) 2025.","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027427963"
"Sapru, A.","Sapru, Aakash (59957996900)","59957996900","Psychological resistance to AI: How regulatory focus fuels AI anxiety and negative attitudes toward AI","2026","Technology in Society","86","","103251","","","0","10.1016/j.techsoc.2026.103251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029366512&doi=10.1016%2Fj.techsoc.2026.103251&partnerID=40&md5=de40e7c06d32de908fb78bd2736fc3c6","As artificial intelligence (AI) becomes increasingly embedded in the socio-economic and technological structure of society, it presents both significant opportunities and notable threats for entrepreneurs. Because business ideas emerge through ongoing interaction between entrepreneurs and their communities, it is crucial to understand the psychological mechanisms that shape not only entrepreneurs' AI-related attitudes but also those of key stakeholders such as customers and investors. While emerging research tends to adopt a generally optimistic stance, with attention to AI's risks largely confined to post-adoption concerns, our study shifts the lens upstream by investigating the antecedents of psychological resistance to AI adoption. Specifically, we explore the psychological mechanisms underlying AI anxiety and negative attitudes toward AI. Drawing on regulatory focus theory, status quo bias, and the emotion-as-information framework, we theorize that prevention focus is positively associated with negative attitudes toward AI, and that this relationship is partially mediated by four dimensions of AI anxiety: learning anxiety, job replacement anxiety, sociotechnical blindness, and configuration anxiety. We test our model using data from 259 undergraduate entrepreneurship students at a U.S. university and find empirical support for our hypotheses. We encourage entrepreneurship research to examine how cognitions, motivations, and affect shape resistance to AI, as this shift can clarify why some entrepreneurs fail to engage with transformative technologies. Our study contributes by foregrounding motivational and affective barriers to AI engagement, offering guidance for reframing AI to resonate with individuals with high prevention focus, and urging educators to consider students' underlying anxieties and aversions to AI. © 2026 The Author.","Anxiety; Artificial intelligence (AI); Aversion; Negative attitudes; Resistance; Threat","Artificial intelligence; Behavioral research; Economic and social effects; Economics; Engineering education; Investments; Motivation; Anxiety; Aversion; Economic structure; Negative attitude; Regulatory focus; Resistance; Socio-economics; Technological structures; Threat; Students; artificial intelligence; entrepreneur; mental health; psychology; risk assessment","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029366512"
"Rizun, N.; Bordean, O.N.; Nikiforova, A.; Beleiu, I.N.; Revina, A.","Rizun, Nina O. (55320503900); Bordean, Ovidiu Niculae (56488011700); Nikiforova, Anastasija (57204202481); Beleiu, Ioana Natalia (57196073776); Revina, Aleksandra (57206201451)","55320503900; 56488011700; 57204202481; 57196073776; 57206201451","Generative AI in higher education: Ethical and behavioral factors influencing students’ intentions to use ChatGPT","2026","Computers and Education Open","10","","100336","","","0","10.1016/j.caeo.2026.100336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029552668&doi=10.1016%2Fj.caeo.2026.100336&partnerID=40&md5=0cfa4d1a6a45e9ad1f799707a539130a","This study investigates the behavioral and ethical considerations shaping students’ adoption of ChatGPT for academic tasks, emphasizing the broader implications of Generative AI in higher education. By integrating the Fairness, Accountability, Transparency & Ethics in AI (FATE), the Technology Acceptance Model (TAM), the Theory of Planned Behavior (TPB), and the Unified Theory of Acceptance and Use of Technology (UTAUT), we developed and tested an integrated model using survey data from 344 students across four European countries, Estonia, Germany, Poland, and Romania, selected to capture diverse educational and digital contexts in Northern, Western, Central, and Eastern Europe. Our findings highlight that while ethical concerns shape trust, social influence and students' perceived control over their ability to use ChatGPT are stronger predictors of actual usage. We revealed that explainability and privacy are the strongest predictors of trust in ChatGPT, yet trust does not directly influence students’ intention to use it. Instead, trust significantly impacts perceived performance, suggesting that students evaluate ChatGPT's reliability through its effectiveness rather than as a factor in adoption. From a behavioral perspective, social influence from university professors and perceived behavioral control emerges as key drivers of ChatGPT adoption. Finally, this research provides practical insights for educators and policymakers on promoting the adoption of generative AI tools in higher education by addressing opportunities, considering associated risks, and determining typical usage patterns among students. © 2026","AI ethics; Artificial intelligence; ChatGPT; Generative AI; Higher education","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029552668"
"Amrollahi, A.; Yang, J.; Fazal-e-Hasan, S.M.; Badreddine, B.","Amrollahi, Alireza (56258799900); Yang, Jiaqi (58657190200); Fazal-e-Hasan, Syed M. (56323574300); Badreddine, Basma M. (57213605870)","56258799900; 58657190200; 56323574300; 57213605870","Knowledge workers’ trust and reception of generative AI's advice in complex tasks","2026","International Journal of Information Management","88","","103031","","","0","10.1016/j.ijinfomgt.2026.103031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028854653&doi=10.1016%2Fj.ijinfomgt.2026.103031&partnerID=40&md5=f0d32df15508cf779f789a9a854fd3ed","Building on the prior literature that suggests knowledge workers are generally averse to algorithmic advice, this study explores the differences in reception of and trust in generative AI (GAI) advice compared to human advice, particularly among various reception groups engaged in complex and professional tasks, such as software development. Studies 1 and 2 explore preferences between human and GAI advice sources and assess the impact of users’ reception to GAI. The findings reveal that programmers appreciate GAI advice more than the equivalent advice from human experts. Furthermore, the reception type significantly influences advice-taking behaviour; programmers with a dominant reception of GAI exhibit greater acceptance, while those with an oppositional reception show less acceptance. In Study 3, we develop a nomological model through survey data to verify the complex relationships among technological innovativeness, various forms of trust in GAI, and advice-taking behaviour, noting variations among the different reception groups. We also conduct a complementary configurational analysis to examine how users’ trust in GAI is influenced by factors outside the main domain of study, such as task complexity, perceived security risks, and past exposure to GAI. Our research challenges the widely held belief of algorithm aversion among knowledge workers and contributes to information systems literature by highlighting the impact of the critical factors such as individual reception, past exposure, and innovativeness on knowledge workers’ advice-taking from GAI. Practically, it offers insights for organisations to develop human-centric GAI implementation strategies that embrace individual differences. © 2026 The Authors","Advice-taking; Algorithm appreciation; Generative AI; Innovativeness; Reception theory; Trust","Artificial intelligence; Information systems; Information use; Advice-taking; Algorithm appreciation; Algorithmics; Complex task; Generative AI; Innovativeness; Knowledge workers; Professional tasks; Reception theory; Trust; Knowledge organization","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028854653"
"Thaiduong, N.","Thaiduong, Ngo (59420275600)","59420275600","Public trust in AI: A dynamic social media view","2026","Social Sciences and Humanities Open","13","","102457","","","0","10.1016/j.ssaho.2026.102457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027242728&doi=10.1016%2Fj.ssaho.2026.102457&partnerID=40&md5=dbc2a6910d64ae194ff665d3d446871c","Public trust in artificial intelligence (AI) plays a vital role in shaping the trajectory of its development, a dynamic made even more complex since the launch of ChatGPT. This study examines the evolution of public trust in AI throughout 2023 by analyzing over 2700 comments on nearly 200 articles on VnExpress, Vietnam's most widely read online newspaper. Employing content analysis guided by a framework of trust encompassing Ability, Benevolence, Integrity, and Predictability (the ABI + model), our dynamic analysis reveals a public perception anchored by consistent trust in AI's Ability, yet marked by a significant and growing apprehension towards its Benevolence and Integrity as concerns over societal impacts and ethical issues intensified throughout the year. These findings highlight the nuanced and shifting nature of public trust in AI, underscoring the need for ongoing dialogue and responsible AI development practices to address evolving public concerns. © 2026 The Author.","ABI+ model; AI trust; ChatGPT; Content analysis; Social psychology","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027242728"
"Akanda, F.; Talukder, T.","Akanda, Firoz (59407670800); Talukder, Tasnia Tasnim (60055804600)","59407670800; 60055804600","AI writing tools in English writing: Reviewing teachers' and students’ views on benefits and concerns","2026","Social Sciences and Humanities Open","13","","102437","","","0","10.1016/j.ssaho.2026.102437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026680482&doi=10.1016%2Fj.ssaho.2026.102437&partnerID=40&md5=ef653cfae6dac7a432612ac3f160871e","The present narrative review synthesizes the teachers' and learners' positive and negative perspectives regarding the use of AI tools in English writing within EFL/ESL contexts. The methodology follows an inclusion-exclusion criterion with a PRISMA flow diagram. A total of 28 peer-reviewed studies published between 2020 and 2025 were included from the SCOPUS/Web of Science (27) and Google Scholar (1) databases. For deductive thematic analysis, a combined framework consisting of Technological Pedagogical Content Knowledge (TPACK), Self-Regulated Learning (SLR), and Vygotsky's scaffolding theory is utilized as lenses. This study predefines ten positive themes as well as two negative themes. In the findings section, the study narrates the themes, like the pedagogical benefits of AI tools, including enhanced feedback, goal-setting, and student motivation, along with challenges such as over-reliance on AI and ethical concerns. © 2026 The Authors","Digital scaffolding of AI tools; Ethical concern of using AI tools; Generative feedback; Learning writing with AI; Overdependence on AI tools","","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026680482"
"Shi, Y.; Yu, K.; Dong, Y.; Chen, F.","Shi, Yuhong (60244673500); Yu, Kun (37036489800); Dong, Yifei (57938222100); Chen, Fang (55714370100)","60244673500; 37036489800; 57938222100; 55714370100","Large language models in education: a systematic review of empirical applications, benefits, and challenges","2026","Computers and Education: Artificial Intelligence","10","","100529","","","0","10.1016/j.caeai.2025.100529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025154114&doi=10.1016%2Fj.caeai.2025.100529&partnerID=40&md5=102290e7bdd3b3314c30a8ecadce60df","The rapid advancement of Large Language Models (LLMs), particularly following the release of ChatGPT in November 2022, has significantly transformed educational methodologies. This systematic review aims to synthesize empirical studies published between November 2022 and March 2025, examining the implementation and effectiveness of LLMs in educational settings. 88 empirical studies identified key applications, benefits, and challenges associated with LLM integration in education. Our findings reveal that LLMs are utilized across various educational contexts in six primary applications, with Intelligent Tutoring Systems being particularly prominent. The benefits include improved academic performance, increased student engagement, enhanced accessibility, optimized resource utilization, and strengthened cognitive and skill development. However, challenges such as student over-reliance on AI, technical reliability issues, assessment fairness, and privacy concerns were identified. This review provides educators, researchers, and policymakers with evidence-based insights and practical guidance for effective LLM integration, contributing to the ongoing transformation of teaching and learning in the era of Generative Artificial Intelligence (GenAI) technology. © 2025 The Authors.","Artificial intelligence; ChatGPT; Educational technology; Empirical studies; Large language models","Computer aided instruction; Education computing; Educational technology; Engineering education; Students; Teaching; Benefit and challenges; ChatGPT; Educational context; Educational methodologies; Educational settings; Empirical studies; Language model; Large language model; Models integration; Systematic Review; Artificial intelligence","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025154114"
