"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Tscholl, D.W.; Ebensperger, M.; A.; Wang, H.; Heckel, H.; Thomasius, M.; Kaserer, A.; Grande, B.; Seelandt, J.C.; Kolbe, M.","Tscholl, David Werner (56856697800); Ebensperger, Max (58968282900); Wang, Helius (60201830700); Heckel, Hubert (60202031000); Thomasius, Max Antonio (36191401100); Kaserer, Alexander (57189361439); Grande, B. (45961287100); Seelandt, Julia Carolin (55341894500); Kolbe, Michaela (35198284900)","56856697800; 58968282900; 60407238200; 60201830700; 60202031000; 36191401100; 57189361439; 45961287100; 55341894500; 35198284900","Generative AI in simulation debriefings: an exploratory study using the Team-FIRST framework and qualitative feedback from simulation experts and learners","2026","Advances in Simulation","11","1","14","","","0","10.1186/s41077-026-00407-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030586918&doi=10.1186%2Fs41077-026-00407-0&partnerID=40&md5=defa00fa38f1a024f3b3b42af6b3147e","Background: Effective debriefings in simulation-based education require accurate observation of team interactions, yet facilitators face challenges due to cognitive load, observer bias, and the complexity of team dynamics. Generative artificial intelligence (AI) tools offer a potential means to support this process by analyzing verbal communication and providing structured feedback. This study explored how AI tools can contribute to teamwork observation and debriefing in immersive medical simulations. Methods: We conducted a qualitative, exploratory study using thematic analysis of simulation participants’ and debriefers’ experiences with AI-generated teamwork reports. Forty-one participants (anesthesia nurses, residents, and attendings) participated in immersive scenarios at the University Hospital Zurich simulation center. Verbal interactions were transcribed with AI-assisted speech recognition and analyzed using two large language model–based systems (Isaac and ChatGPT-4o) guided by a prompt based on the Team-FIRST framework. Structured reports were generated for each scenario and reviewed by four simulation experts. Semi-structured interviews captured learners’ perspectives on being observed by AI tools. Results: A total of 26 AI-generated reports and 27 learner interviews were analyzed. Experts valued the detailed transcripts and illustrative quotes, which supported structured feedback and captured observations that might otherwise be missed. Limitations included inaccuracies in categorization, misattribution of speakers, overly generalized interpretations, and the absence of contextual or nonverbal information. Learners expressed openness and optimism about AI’s potential benefits: efficiency, objectivity, and enhanced perception, while also raising concerns about transparency, data protection, interpretation errors, and risks of overreliance. Both groups emphasized the necessity of human oversight. Conclusion: Generative AI tools can complement simulation debriefings by structuring communication data and highlighting teamwork patterns, supporting reflective practice. Current limitations highlight the need for multimodal approaches, refined prompting strategies, and integration with expert facilitation to ensure AI functions as a support tool rather than a replacement in simulation-based education. Trial registration: BASEC ID: Req-2024-01642. © The Author(s) 2026.","Automated assessments; Clinical education technology; Debriefing; Generative artificial intelligence; Healthcare; Large language models; Qualitative thematic analysis; Simulation; Teamwork","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105030586918"
"Aruleba, K.; Ebenezer, E.; Modisane, C.","Aruleba, Kehinde D. (57484703900); Ebenezer, Esenogho (57193790575); Modisane, Cameron (60090121700)","57484703900; 57193790575; 60090121700","Prompt engineering as cognitive scaffolding for ethical and explanatory quality in AI-mediated financial learning","2026","Discover Education","5","1","125","","","0","10.1007/s44217-026-01134-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030494744&doi=10.1007%2Fs44217-026-01134-4&partnerID=40&md5=289b3a7f01f86e57018a41cf7d48a59e","Background : Large language models (LLMs) are increasingly used in personal finance education, yet the role of instructional prompt design in shaping explanatory quality and ethical responsiveness remains underexplored. This matters because trustworthy financial guidance and instruction depend on clarity, accuracy, and appropriately cautionary framing. Method : We conducted a Design-Based Research (DBR) Phase 1 artefact-validation study using content analysis of 120 GPT-4-turbo (May 2025) generations. Ninety diagnostic prompts varied linguistic framing, cognitive level, and ethical intent; thirty Phase 1b prompts instantiated a derived taxonomy. Two expert reviewers scored outputs (0–3) for financial accuracy, conceptual clarity, and ethical tone (inter-rater reliability:). Results : Prompt form was a pedagogical determinant of content quality. Procedural prompts outperformed interrogatives on clarity (,,) and accuracy (,,). Ethical anchoring raised ethical tone (median 2.78 vs. 2.31; Cliff’s,) with a modest accuracy trade-off (,). Taxonomy-guided prompting increased medians for clarity (to 2.92), accuracy (to 2.81), and ethical tone (to 2.71), and reduced low-quality outliers from to (,), evidencing higher instructional reliability at the content level. Conclusion : The prompt taxonomy, validated here at the content level, operationalises three design principles - Guided Explanation, Contextualised Inquiry, and Comparative Reasoning. These links prompt forms to instructional functions via structural scaffolding and situated relevance. Treating prompt engineering as instructional design can systematically improve AI-mediated educational content in high-stakes finance. DBR Phase 2 will test impacts on learner outcomes (decision quality, self-regulation, calibrated trust) and robustness across models and retrieval-augmented settings. © The Author(s) 2026.","Cognitive scaffolding; Design-based research; Financial education; Generative AI in learning; Prompt engineering","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105030494744"
"Al-Atrash, A.; Hamdan, M.; Dweikat, K.","Al-Atrash, Aya (59197609700); Hamdan, Mohammed (56727734700); Dweikat, Khaled A. (59247240800)","59197609700; 56727734700; 59247240800","Qualitative insights into EFL students’ use of ChatGPT-assisted autonomous learning for enhancing self-directed learning in Palestinian higher education","2026","Discover Global Society","4","1","16","","","0","10.1007/s44282-026-00350-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030127242&doi=10.1007%2Fs44282-026-00350-5&partnerID=40&md5=7b58235d131e884dd197be0d4fd6d5c3","This qualitative thematic study examines Palestinian EFL students’ perceptions of ChatGPT-assisted learning and its role in supporting autonomous and self-directed learning in higher education. Drawing on semi-structured interviews with 30 undergraduate students from two Palestinian universities, the study explores how learners engage with ChatGPT as a learning scaffold to manage academic tasks, clarify linguistic concepts, and regulate learning beyond immediate teacher supervision. The findings indicate that students perceive ChatGPT as an accessible and responsive tool that supports idea generation, comprehension, and language revision while enhancing confidence, motivation, and perceived control over learning processes. At the same time, participants expressed critical concerns regarding overreliance on AI-generated output, potential misinformation, reduced cognitive engagement, and the absence of human-mediated feedback. Importantly, students emphasized that AI-supported autonomy is most effective when complemented by pedagogical guidance, ethical awareness, and critical reflection. Situated within the resource-constrained and politically complex context of Palestinian higher education, the study argues that ChatGPT can facilitate self-directed learning not as a replacement for instruction but as a contextually adaptive support mechanism. The article concludes by highlighting the need for guided, theory-informed integration of AI tools that balances learner autonomy with instructional responsibility and proposes directions for future research on AI-assisted language learning in constrained educational environments. © The Author(s) 2026.","AI in education; Autonomous learning; ChatGPT; EFL students in Palestine; Self-directed learning","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105030127242"
"Benayoune, A.; Slimi, Z.; Al Habsi, A.","Benayoune, Abdelghani (57795005400); Slimi, Zouhaier (57735735700); Al Habsi, Amer (60372995800)","57795005400; 57735735700; 60372995800","Artificial intelligence policy challenges and institutional readiness in Omani higher education","2026","Discover Education","5","1","86","","","0","10.1007/s44217-026-01188-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029478864&doi=10.1007%2Fs44217-026-01188-4&partnerID=40&md5=79d1a00b1e0587afcb5e2e6f52df4db0","The rapid integration of artificial intelligence (AI) into higher education presents transformative opportunities alongside complex governance challenges, particularly in emerging economies. This mixed-methods study examines AI policy adoption, implementation barriers, and stakeholder priorities across 28 higher education institutions (HEIs) in Oman, a Gulf Cooperation Council (GCC) nation actively pursuing AI-driven economic diversification under Vision 2040. Combining quantitative surveys (n = 39 institutional leaders) and qualitative focus groups (n = 15 students), the research reveals a critical governance gap: only 5.1% of higher education institutions (HEIs) have formal AI policies, while 74.4% lack frameworks. Key challenges include academic integrity violations (e.g., undetectable AI-generated plagiarism), student over-reliance on generative tools (reported by 59% of faculty), and systemic deficiencies in training, infrastructure, and regulatory clarity. The thematic analysis identifies faculty-driven pedagogical innovations and institutional unpreparedness, with 69% of respondents citing “regulatory uncertainty” as the primary barrier. Applying DiMaggio and Powell’s (1983) institutional isomorphism framework, we expose how coercive (top-down policy enforcement gaps), mimetic (ad-hoc replication of regional models), and normative (training deficits) pressures perpetuate fragmentation. Findings underscore the urgency of context-sensitive strategies, proposing three actionable recommendations: (1) national ethical guidelines aligned with UNESCO’s AI Competency Framework, (2) mandatory faculty certification programs targeting 80% compliance by 2026, and (3) equitable resource allocation through Oman’s National AI Observatory. The study positions Oman as a GCC policy laboratory, offering transferable insights for mid-sized economies balancing AI innovation with cultural preservation. Limitations include sample size constraints (n = 28 HEIs) and the rapid evolution of AI, necessitating longitudinal research. This work contributes to global debates on AI governance by empirically linking institutional theory to policy implementation in Arab higher education contexts. © The Author(s) 2026.","AI policy; Artificial Intelligence in education; Ethical AI use; Generative AI challenges","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029478864"
"Hu, Z.; Qiu, C.; Wang, A.; Xu, S.; Ye, J.; Zou, J.; Liu, S.; Yuan, W.; Lv, J.","Hu, Zijing (57759051100); Qiu, Caixia (60163686300); Wang, Anqi (60367810800); Xu, Shungui (57212101521); Ye, Jing (60367810900); Zou, Jiawen (60368175200); Liu, Shuting (60368231700); Yuan, Weixiang (60368115800); Lv, Jiazhe (60367811000)","57759051100; 60163686300; 60367810800; 57212101521; 60367810900; 60368175200; 60368231700; 60368115800; 60367811000","Student voices: synergising artificial and human intelligence in health science education","2026","BMC Medical Education","26","1","185","","","0","10.1186/s12909-025-08545-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029181413&doi=10.1186%2Fs12909-025-08545-1&partnerID=40&md5=529accb963f9ad4a9758b695b49f165e","Background: There is a dire need to enhance health science education through technology to meet the demands of 21st-century education globally. This study explored the integration of Artificial Intelligence (AI) and Human Intelligence (HI) in health science education. Methods: Guided by the Technological, Pedagogical, and Content Knowledge and Diffusion of Innovation frameworks, a descriptive qualitative single-case study was conducted within an interpretivist paradigm. Purposive sampling recruited six postgraduate and residency students with dual exposure to conventional and AI-assisted learning. Semi-structured interviews were thematically analysed. Results: Findings revealed that students perceived AI as a valuable supplementary tool that enhanced diagnostic confidence, accelerated knowledge access, and simulated rare clinical scenarios. AI facilitated self-directed learning, structured clinical reasoning, and supported overburdened educators. However, participants cautioned against over-reliance, citing risks such as reduced critical thinking, algorithmic bias, and potential erosion of humanistic care. The adoption of AI was influenced by its relative advantages, alignment with learning preferences, and the possibility of low-risk experimentation; however, challenges arose from the complexity of prompt design and the lack of formal training. Conclusion: The study concluded that effective AI-HI integration requires AI literacy, ethical governance, and hybrid models combining technological efficiency with mentorship. Institutional investment in curricula, faculty development, and policy frameworks is essential to ensure responsible, context-sensitive adoption. © The Author(s) 2026.","Artificial intelligence; Health sciences; Higher education; Human intelligence","artificial intelligence; curriculum; female; human; interview; male; medical student; psychology; qualitative research; Artificial Intelligence; Curriculum; Female; Humans; Interviews as Topic; Male; Qualitative Research; Students, Medical","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029181413"
"Vélez, G.; Xu, L.Z.; Fitzgerald, J.","Vélez, Gabriel M. (57192983520); Xu, Larry Zhiming (57202538036); Fitzgerald, Jacklynn M. (56591515800)","57192983520; 57202538036; 56591515800","From AI as a Relational Breaker to a Relational Broker: Comment on Bauer et al. (2025)","2026","Educational Psychology Review","38","1","15","","","0","10.1007/s10648-025-10106-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029086943&doi=10.1007%2Fs10648-025-10106-3&partnerID=40&md5=b32435a0232712c2719deffd23117ed6","Relationships are fundamental to who we are as people, to our schools and communities, and to how young people learn and develop. As artificial intelligence (AI) enters K–16 classrooms, it affects not only instruction but also the deep-rooted human connections that have sustained learning across many generations. Recently in this journal, (Bauer et al., Educational Psychology Review 37, 2025) argue that successful AI integration involves moderating factors like students’ literacy, educators’ technological skills, and pedagogical approaches. Building on their focus on cognition, this commentary suggests that we should consider extending these moderating factors to consider how AI compels us to reimagine and refocus on human relationships, those within students themselves and between students and teachers, schools, families, and communities. Rooted in educational psychology literature on relationships, we argue that AI may be a relationship breaker until educators make it a broker. Reliance on AI in education can change how students and teachers see themselves, who they trust, and what kinds of connections endure in an increasingly machine-mediated educational landscape. We review ways in which AI is changing educational relationships at each level, from the intrapersonal (students with themselves), interpersonal in schools (students with teachers), and in the larger learning ecosystem (with families and communities). Considering these levels offers further areas for research and policy beyond the cognitive ones outlined by Bauer et al. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","AI; Authority; Development; Education; Identity; Relationships; Safety","","Note","Final","","Scopus","2-s2.0-105029086943"
"Hadra, M.; Cambridge, K.; Mesbah, M.","Hadra, Mohammad Gafer (57223106837); Cambridge, Karleen (58656353200); Mesbah, Mostefa (7006286306)","57223106837; 58656353200; 7006286306","Evaluating the accuracy and reliability of AI content detectors in academic contexts","2026","International Journal for Educational Integrity","22","1","4","","","0","10.1007/s40979-026-00213-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029041771&doi=10.1007%2Fs40979-026-00213-1&partnerID=40&md5=50c09a59c2814659a9a1a86c3d3456fe","The rapid adoption of generative AI (GenAI) in higher education has intensified concerns about academic integrity, particularly for institutions serving English as a Foreign Language (EFL) learners. AI content detectors such as Turnitin and Originality are now widely used to identify potential misuse of GenAI in student writing, yet their accuracy, consistency, and fairness remain to be proven. This study evaluates the reliability of these two commercial detectors using a balanced dataset of 192 texts, composed of authentic EFL student writing produced before the widespread availability of GenAI, professional human-authored texts, AI-generated outputs, and hybrid compositions. Detector outputs were categorized into Human, Hybrid, or AI using established thresholding ranges, and performance was assessed using standard classification metrics alongside statistical tests of significance. Results show that Originality outperformed Turnitin in overall accuracy (0.69 vs. 0.61) and macro-average recall (0.60 vs. 0.51). However, both detectors performed poorly on Hybrid texts, an increasingly common form of student writing, indicating substantial difficulty distinguishing mixed authorship. Performance declined significantly as a result of increased text length and genre variation, with both detectors achieving noticeably lower accuracy on scientific writing than on humanities texts. Originality also showed a borderline trend toward higher accuracy on professionally written texts compared to EFL student writing, suggesting potential fairness concerns. Taken together, the findings demonstrate that while AI detectors may serve as supplementary tools—serve only as indicators that prompt further inquiry, their limitations make them unsuitable as the sole basis for decisions regarding academic misconduct. For EFL-focused institutions in particular, over-reliance on machine-based identification risks misclassifying legitimate student work. The study highlights the need for informed human judgment, clearer institutional policies on acceptable AI use, and continued development of equitable detection methods that account for linguistic diversity. © The Author(s) 2026.","Academic integrity; Artificial intelligence content detection; Detection bias; Detection reliability; English as a Foreign Language (EFL); Generative artificial intelligence","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029041771"
"Yin, X.; Ruan, J.; Ma, W.","Yin, Xiaojuan (57499350700); Ruan, Jing (60356526900); Ma, Wulin (57318239900)","57499350700; 60356526900; 57318239900","The impact of generative AI on foreign language enjoyment: the roles of gender, English proficiency and usage duration among Chinese EFL learners","2026","BMC Psychology","14","1","134","","","0","10.1186/s40359-025-03870-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028913393&doi=10.1186%2Fs40359-025-03870-y&partnerID=40&md5=e42cb00ec1de17298655a88eff3a2d1b","Background: With the integration of Generative AI (GenAI) technology in language educational settings, the impact of GenAI tools has garnered increasing attention. Yet extant research has predominantly examined GenAI's cognitive impacts on learners' linguistic abilities, leaving the empirical landscape of learners' emotional experiences largely uncharted. This study, drawing on Positive Psychology, investigated the impact of GenAI tools on Chinese EFL students' foreign language enjoyment (FLE), as well as the roles of three factors—gender, English proficiency, and GenAI usage duration—on students' FLE. Methods: A mixed-methods design was applied. Ninety-eight Chinese EFL university students completed the survey and 10 participated in the interview after the 12-week intervention. SPSS 24.0 was employed to perform descriptive statistics, independent-samples t-tests, and one-way ANOVA in sequence on the survey data, and the interview data were manually coded using thematic analysis. Results: Findings indicated that participants reported medium level of FLE, and the FLE-teacher dimension was slightly higher than FLE-private and FLE-atmosphere. Among three influential factors examined, although neither gender nor English proficiency significantly influenced participants' FLE statistically, male participants exhibited a marginally higher level of FLE compared to their female counterparts. Noticeably, participants with relatively lower English proficiency levels tended to experience a slightly higher degree of FLE than those with higher English proficiency levels. However, this subtle intergroup difference did not reach statistical significance. Moreover, the duration of GenAI tool usage is shown to statistically impact the participants' FLE level, with six-month duration serving as a threshold at which participants' FLE undergoes a positive qualitative shift. Conclusions: Participants generally perceived that GenAI tools fostered an enjoyable learning environment, but they also expressed concerns about potential over-reliance on GenAI technology and the possible erosion of their critical thinking abilities. The study recommends encouraging students to use GenAI tools for more than six months, enhancing female students' digital competence through learning tasks requiring cooperation between boys and girls, and designing more process-oriented tasks that require reflective thinking and sustained student engagement to strengthen critical thinking skills. © The Author(s) 2025.","Foreign Language Enjoyment (FLE); GenAI; Influential factors; Positive Psychology","adult; China; East Asian; female; human; language; learning; male; multilingualism; pleasure; psychology; sex factor; student; young adult; Adult; Chinese people; East Asian People; Female; Humans; Language; Learning; Male; Multilingualism; Pleasure; Sex Factors; Students; Young Adult","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028913393"
"Hsieh, C.-C.; Bali, S.; Li, H.-C.","Hsieh, Chuan Chung (56804206600); Bali, Sandrotua (58448891600); Li, Hui Chieh (57223440897)","56804206600; 58448891600; 57223440897","Untangling pathways from digital instructional leadership to AI pedagogy: a diffusion of innovation theory perspective","2026","BMC Psychology","14","1","63","","","0","10.1186/s40359-025-03792-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027516681&doi=10.1186%2Fs40359-025-03792-9&partnerID=40&md5=ff511ef8819a6e1ce64148ff6e7af698","Drawing on Diffusion of Innovation Theory, this empirical study examines how digital instructional leadership impacts the integration of AI and AI pedagogy in K–12 schools. In addition, the study examines how trust in AI moderates the relationship between AI integration and AI pedagogy. To achieve this goal, a large-scale cross-sectional survey was administered to 842 K–12 teachers in Taiwan who had prior experience integrating AI tools into their classroom instruction. The data were analyzed using SPSS and Partial Least Squares Structural Equation Modeling (PLS-SEM). Results show that digital instructional leadership significantly predicts AI integration but has no direct effect on AI pedagogy. In addition, AI integration strongly predicts AI pedagogy and mediates the relationship between digital instructional leadership and AI pedagogy, whereas trust in AI does not moderate the relationship between AI integration and AI pedagogy. Both theoretical and practical contributions are discussed, offering insights for future research, policymakers, and teachers. © The Author(s) 2025.","AI integration; AI pedagogy; Diffusion of innovation theory; Digital instructional leadership; K–12 education; Trust in AI","adult; artificial intelligence; cross-sectional study; diffusion of innovation; female; human; leadership; male; middle aged; psychology; school teacher; Taiwan; teaching; Adult; Artificial Intelligence; Cross-Sectional Studies; Diffusion of Innovation; Female; Humans; Leadership; Male; Middle Aged; School Teachers; Teaching","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027516681"
"Lee, F.; Wong, S.W.","Lee, Frances (60309920400); Wong, Shing Wai (55344576600)","60309920400; 55344576600","Surgical education reimagined: the convergence of learning theories and artificial intelligence","2026","BMC Medical Education","26","1","38","","","1","10.1186/s12909-025-08039-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027142287&doi=10.1186%2Fs12909-025-08039-0&partnerID=40&md5=537864c5df271a18ba80738ff0287b2b","Purpose: The integration of artificial intelligence (AI) into surgical education is transforming the way surgical skills and knowledge are developed. This article examines how AI aligns with key educational theories—behaviourism, cognitivism, constructivism, humanism, and connectivism—to enhance learning through personalised simulations, adaptive feedback, and networked platforms. Materials and methods: A review of literature and theoretical frameworks was conducted to analyse AI’s applications in surgical training. Key features include AI-driven tools for structured feedback, cognitive optimisation, experiential learning, individual growth, and collaboration through interconnected networks. The article also identifies ethical challenges, including data privacy, algorithmic bias, and equitable access. Results: AI has the potential to revolutionise surgical education by fostering critical thinking, improving training outcomes, and expanding access to learning resources. However, risks such as over-reliance on automation, loss of hands-on experience, and superficial AI use (“AI theatre”) highlight the need for thoughtful and ethical implementation. Conclusion: With a balanced and collaborative approach among educators, technologists, and healthcare professionals, AI can create dynamic, learner-centred environments. By addressing challenges, AI can support the development of skilled, compassionate surgeons equipped to navigate the complexities of modern medical practice. © The Author(s) 2025.","Artificial intelligence in education; Educational theories and AI integration; Ethical considerations in AI; Personalized learning environments; Surgical training and AI","algorithm bias; article; artificial intelligence; automation; cognition; cognitivism; conceptual framework; critical thinking; data privacy; education; educational theory; experiential learning; health care personnel; human; learning; learning environment; learning theory; medical practice; simulation; surgeon; surgical training; training; clinical competence; educational model; general surgery; medical education; Artificial Intelligence; Clinical Competence; Education, Medical; General Surgery; Humans; Learning; Models, Educational","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027142287"
