paper_no,first_author,year,title,doi,source,priority,has_pdf,download_status,notes
129,Okamura,2020,Adaptive trust calibration for human-AI collaboration,10.1371/journal.pone.0229132,PLOS ONE,A,TRUE,secured,Behavioral dependence switching as calibration proxy
130,Li,2024,Understanding the Effects of Miscalibrated AI Confidence on User Trust,10.48550/arXiv.2402.07632,CHI 2024 / arXiv,A,TRUE,secured,Direct experimental manipulation of calibration levels
131,Yin,2019,Understanding the Effect of Accuracy on Trust in Machine Learning Models,10.1145/3290605.3300509,CHI 2019,A,TRUE,secured,Trust-accuracy alignment experiment
132,Vasconcelos,2023,Explanations Can Reduce Overreliance on AI Systems During Decision-Making,10.1145/3579605,Proceedings of the ACM on Human-Computer Interaction (CSCW),A,TRUE,secured,5 studies N=731 behavioral overreliance measurement
133,Sakamoto,2024,Facilitating Trust Calibration in AI-Driven Diagnostic Decision Support Systems,10.2196/58666,JMIR Formative Research,A,FALSE,pending,Trust calibration intervention validation (clinical transferable to education); author corrected from Hasan
134,Ma,2024,"Are You Really Sure?" Understanding the Effects of Human Self-Confidence Calibration in AI-Assisted Decision Making,10.1145/3613904.3642671,CHI 2024,A,TRUE,secured,Self-confidence calibration prompts improve reliance behavior; author corrected from Kimani
135,Logg,2019,Algorithm appreciation: People prefer algorithmic to human judgment,10.1016/j.obhdp.2018.12.005,Organizational Behavior and Human Decision Processes,A,TRUE,secured,Weight-on-Advice (WOA) as behavioral trust calibration measure
136,Wischnewski,2023,Measuring and Understanding Trust Calibrations for Automated Systems: A Survey of the State-Of-The-Art and Future Directions,10.1145/3544548.3581197,CHI 2023,B,TRUE,secured,Key survey of calibration measurement methods; author corrected from Mehrotra
137,Mehrotra,2024,A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends Opportunities and Challenges,10.1145/3696449,ACM Computing Surveys,B,TRUE,secured,Directly identifies measurement gap
138,Scharowski,2025,To Trust or Distrust Trust Measures: Validating Questionnaires for Trust in AI,10.48550/arXiv.2403.00582,FAccT 2025 / arXiv,B,TRUE,secured,TPA TAI trust scale validation N=1485
139,Tomsett,2020,Rapid Trust Calibration through Interpretable and Uncertainty-Aware AI,10.1016/j.patter.2020.100049,Patterns,B,TRUE,secured,Trust calibration through interpretability and uncertainty
140,Lee,2025,Metacognitive sensitivity: The key to calibrating trust and optimal decision making with AI,10.1093/pnasnexus/pgaf133,PNAS Nexus,C,TRUE,secured,Direct conceptual link between metacognition and trust calibration
141,Steyvers,2025,Metacognition and Uncertainty Communication in Humans and LLMs,10.1177/09637214251391158,Current Directions in Psychological Science,C,TRUE,secured,Metacognition-LLM uncertainty communication
142,Lee,2025,Learning Behaviors Mediate the Effect of AI-powered Support for Metacognitive Calibration on Learning Outcomes,10.1145/3706598.3713960,CHI 2025,C,TRUE,secured,SRL calibration measurement in AI conditions
143,Lee,2025,Calibration Discrepancy Predicts Students' Subsequent Metacognitive Strategy Use in Computer-based Learning Environments,10.1007/s40593-025-00514-5,International Journal of Artificial Intelligence in Education,C,TRUE,secured,N=210 calibration discrepancy in AI-supported learning; author corrected from IJAIED
144,Nazaretsky,2025,The critical role of trust in adopting AI-powered educational technology for learning: An instrument for measuring student trust,10.1016/j.caeai.2025.100375,Computers and Education: Artificial Intelligence,D,TRUE,secured,N=665 4-factor student trust scale
145,Pitts,2025,Understanding Human-AI Trust in Education: A Conceptual Framework,10.48550/arXiv.2506.09160,arXiv,D,TRUE,secured,Human-like vs system-like trust distinction
146,ecseNet,2025,Measuring Student Trust and Over-Reliance on AI Tutors,,ecseNet Conference,D,FALSE,pending,Mixed methods behavioral indicators; PDF not available
147,Xu,2025,Enhancing self-regulated learning and learning experience in generative AI environments,10.1111/bjet.13599,British Journal of Educational Technology,D,FALSE,pending,Metacognitive support scaffolding experiment N=68; PDF not available
